Stadium Name,Capacity,Latitude,Longitude
Principality Stadium,73931,51.47806,-3.18250
Cardiff City Stadium,33280,51.4727806,-3.2030611
Swansea.com Stadium,21000,51.6422,-3.9351
Sophia Gardens,16000,51.48722,-3.19139
Parc y Scarlets,14000,51.67917,-4.12917
Cardiff Arms Park,12500,51.47972,-3.18361
STōK CaeRas,10771,53.05194,-3.00361
